Argomento;Numero;Cognome;Nome;Titolo;Descrizione;Prezzo;Soffietto;
Archeologia;82;26°Convegno di studi sulla Magna Grecia.;;Lo stretto crocevia di culture.;Taranto. Istituto per la Storia e l'Archeologia della Magna Grecia-Taranto 1989, 8°, pp.  800, con 56 tavole n.t. ;€ 40;
Archeologia;83;27° Convegno di studi sulla Magna Grecia.;;Poseidonia - Paestum.;3 voll. Taranto. Istituto per la Storia e l'Archeologia della Magna Grecia-Taranto 1988, 8°, pp.  968, con 14 tavole ripieg. f.t. ;€ 50;
Archeologia;84;34° Convegno di studi sulla Magna Grecia.;;Corinto e l'Occidente.;2 voll. Taranto. Istituto per la Storia e l'Archeologia della Magna Grecia-Taranto 1995, 8°, pp.  854, con 50 tavole n.t. ;€ 35;
Archeologia;85;35° Convegno di studi sulla Magna Grecia.;;Eredità della Magna Grecia. ;2 voll. Taranto. Istituto per la Storia e l'Archeologia della Magna Grecia-Taranto 1996, 8°, pp.  804, con 69 tavole n.t. ;€ 40;
Archeologia;86;39° Convegno di studi sulla Magna Grecia.;;Magna Grecia e Oriente Mediterraneo prima dell'età Ellenistica.;2 voll. Taranto. Istituto per la Storia e l'Archeologia della Magna Grecia-Taranto 2000, 8°, pp.  814, con 80 tavole n.t. ;€ 40;
Archeologia;87;40° Convegno di studi sulla Magna Grecia.;;Problemi della Chora coloniale dall'occidente al Mar nero. ;2 voll. Taranto. Istituto per la Storia e l'Archeologia della Magna Grecia-Taranto 2001, 8°, pp.  1.054, con 58 tavole n.t. ;€ 40;
Archeologia;88;5° Convegno di studi sulla Magna Grecia.;;Filosofia e Scienza in Magna Grecia.;Taranto. Istituto per la Storia e l'Archeologia della Magna Grecia-Taranto 1998, 8°, pp.  340, con figure n.t. ;€ 25;
Archeologia;89;Albore Livadie;Claude (a cura).;Archeologia a Piano di Sorrento. ;Ricerche di Preistoria e di Protostoria nella Penisola Sorrentina. Comune di Piano di Sorrento. 1990, 8° quadrotto, pp. 162, con olte figure nel testo.;€ 14;
Archeologia;90;Bonanome;Daniela.;Il rilievo da Mondragone nel Museo Nazionale di Napoli. ;Napoli. Arte Tipografica 1995, 4°, pp. 224, con 105 figure nel testo.;28;
Archeologia;91;Bonanome;Daniela.;Il rilievo da Mondragone nel Museo Nazionale.;Napoli. Arte Tipografica 1995, 4°, pp. 220, con 105 figure n. t.;€ 25;
Archeologia;92;Cerchiai;Luca (a cura).;L'iconografia di Atena con elmo frigio in Italia meridionale.;Attidella Giornata di Studi (Fisciano, 12 giugno 1998). Napoli. Loffredo 2002, 8°, pp. 166.;€ 11;
Archeologia;93;De Franciscis Alfredo, Gigante Marcello,;Capasso Mario, Iezzi Benito.;Amedeo Maiuri nel centenario della nascita.;Premessa di Giovanni Pugliese Carratelli. Napoli. Bibliopolis 1990, 8°, pp. 142.;€ 12;
Archeologia;94;De Rosa;Aniello (a cura).;Vesuvio. Il Grand Tour dell'Accademia Ercolanese dal passato al futuro. ;Napoli. Arte Tipografica 2010, 8°, pp. 204, con ill. n.t.  Leg. t.t. edit., sovracc. ;€ 14;
Archeologia;95;Ebanista;Carlo.;Et manet in Mediis Quasi Gemma Intersita Tectis.;La Basilica di S. Felice a Cimitile. Storia degli scavi. Fasi edilizie reperti. Napoli. Arte Tipografica 2002, 8°, pp. 638, con 171 figure nel testo.;€ 20;
